,Name,Duration,Wind speed,Pressure,Areas affected,Deaths,Damage,REf,Category
382,Bob,19-Aug-91,115 mph (185 km/h),950 hPa (28.05 inHg),"East Coast of the United States, Nova Scotia",17,,[140],3
383,Emily,"August 31-September 1, 1993",115 mph (185 km/h),960 hPa (28.35 inHg),North Carolina,3,,[141],3
384,Marilyn,"September 16–17, 1995",115 mph (185 km/h),949 hPa (28.02 inHg),"United States Virgin Islands, Puerto Rico, Dominica, Martinique, Guadeloupe",,[142],,3
385,Roxanne,"October 10–11, 1995",115 mph (185 km/h),956 hPa (28.23 inHg),"Yucatán Peninsula, Veracruz, Tabasco",29,,[143],3
386,Bertha,9-Jul-96,115 mph (185 km/h),960 hPa (28.35 inHg),"Northeastern Caribbean, Florida, North Carolina",,[144],,3
387,Fran,"September 4–6, 1996",120 mph (195 km/h),946 hPa (27.94 inHg),"North Carolina, South Carolina, Virginia, West Virginia, Pennsylvania",27,,[145],3
388,Isidore,28-Sep-96,115 mph (185 km/h),960 hPa (28.35 inHg),No land areas,0,None,[146],3
389,Lili,19-Oct-96,115 mph (185 km/h),960 hPa (28.35 inHg),"Central America, Cuba, Florida, Bahamas, Bermuda, Ireland, Great Britain",22,,[147],3
390,Erika,"September 8–10, 1997",125 mph (205 km/h),946 hPa (27.94 inHg),"Leeward Islands, Puerto Rico, Azores",2,,[148],3
391,Bonnie,"August 23–26, 1998",115 mph (185 km/h),955 hPa (28.20 inHg),"Leeward Islands, North Carolina, Mid-Atlantic States",5,,[149],3
392,Alberto,"August 12–13, 2000",125 mph (205 km/h),950 hPa (28.05 inHg),No land areas,0,None,[150],3
393,Erin,"September 9–10, 2001",120 mph (195 km/h),968 hPa (28.59 inHg),"Bermuda, Newfoundland, East Coast of the United States",None,Minimal,[151],3
394,Felix,14-Sep-01,115 mph (185 km/h),962 hPa (28.41 inHg),Azores,None,None,[152],3
395,Isidore,"September 21–23, 2002",125 mph (205 km/h),934 hPa (27.58 inHg),"Windward Islands, Southeast Mexico, Louisiana",22,,[153],3
396,Kate,"October 3–5, 2003",125 mph (205 km/h),952 hPa (28.11 inHg),Newfoundland,None,None,[154],3
397,Alex,5-Aug-04,120 mph (195 km/h),957 hPa (28.26 inHg),North Carolina,1,,[155],3
398,Jeanne,"September 25–26, 2004",120 mph (195 km/h),950 hPa (28.05 inHg),"Guadeloupe, Hispaniola, Bahamas, Florida",3037,,[156],3
399,Maria,6-Sep-05,115 mph (185 km/h),962 hPa (28.41 inHg),"East Coast of the United States, Norway",3,Minimal,[157][158],3
400,Beta,30-Oct-05,115 mph (185 km/h),962 hPa (28.41 inHg),Central America,,[159][160][161][162][163][164][165][166][167],,3
401,Gordon,"September 14–15, 2006",120 mph (195 km/h),955 hPa (28.20 inHg),"Azores, Iberian Peninsula, British Isles",None,,[168][169],3
402,Helene,8-Sep-06,120 mph (195 km/h),955 hPa (28.20 inHg),British Isles,None,None,[170],3
403,Bertha,"July 7–8, 2008",125 mph (205 km/h),952 hPa (28.11 inHg),"Bermuda, East Coast of the United States",3,Minimal,[171],3
404,Fred,"September 9–10, 2009",120 mph (195 km/h),958 hPa (28.29 inHg),Cape Verde Islands,None,None,[172],3
405,Karl,17-Sep-10,125 mph (205 km/h),956 hPa (28.23 inHg),"Belize, Yucatán Peninsula, Veracruz",22,,[173],3
406,Irene,24-Aug-11,120 mph (195 km/h),942 hPa (27.82 inHg),"Antilles, Bahamas, North Carolina, New Jersey, New York, Eastern Canada",,[174],,3
407,Rina,"October 25–26, 2011",115 mph (185 km/h),966 hPa (28.53 inHg),"Central America, Florida",None,,[175][176],3
408,Michael,6-Sep-12,115 mph (185 km/h),964 hPa (28.47 inHg),No land areas,None,None,[177],3
409,Sandy,24-Oct-12,115 mph (185 km/h),940 hPa (27.76 inHg),"Greater Antilles, Bahamas, United States East Coast",233,,[178][179][180],3
410,Edouard,16-Sep-14,120 mph (195 km/h),960 hPa (28.35 inHg),East Coast of the United States,2,Minimal,[181][182],3
411,Danny,21-Aug-15,125 mph (205 km/h),960 hPa (28.35 inHg),Lesser Antilles,None,None,[183],3
412,Gaston,"August 28–31, 2016 †",115 mph (185 km/h),962 hPa (28.41 inHg),Azores,None,None,[184],3
413,Otto,24-Nov-16,115 mph (185 km/h),975 hPa (28.79 inHg),"Nicaragua, Costa Rica, Panama",23,,[185][186][187][188],3
414,Lee,27-Sep-17,115 mph (185 km/h),962 hPa (28.41 inHg),No land areas,None,None,[189],3
415,Ophelia,14-Oct-17,115 mph (185 km/h),959 hPa (28.32 inHg),"Azores, Portugal, Spain, Ireland, United Kingdom",3,,[190][191][192][193][194],3
416,Humberto,"September 17–19, 2019",125 mph (205 km/h),950 hPa (28.05 inHg),"Dominican Republic, Haiti, Cuba, The Bahamas, Florida, Bermuda",2,$25 million,,3
417,Epsilon,"October 21–October 22, 2020",115 mph (185 km/h),952 hPa (28.11 inHg),Bermuda,1,Minimal,[195],3
418,Zeta,28-Oct-20,115 mph (185 km/h),970 hPa (28.64 inHg),"Cayman Islands, Jamaica, Central America, Yucatán Peninsula, Gulf Coast of the United States, Southeastern United States, Mid-Atlantic, New England",9,$4.4 billion,,3
419,Grace,20-Aug-21,120 mph (195 km/h),967 hPa (28.56 inHg),"Lesser Antilles, Greater Antilles, Yucatán Peninsula, Central Mexico",15,$513 million,,3
420,Larry,"September 4–8, 2021",125 mph (205 km/h),955 hPa (28.20 inHg),"Bermuda, Newfoundland",7,$80 million,,3
421,"""Cuba""",19-Oct-24,165 mph (270 km/h),910 hPa (26.87 inHg),"Central America, Mexico, CubaFlorida, The Bahamas",90,,[12][13],5
