RowID,Name,StartDate,EndDate,DurationDays,WindSpeed_mph,WindSpeed_kmh,Pressure_hPa,Pressure_inHg,Areas_affected,Deaths,Damage_USD,Category
164,Debby,8/19/2000,8/24/2000,5,85,140,991,29.26,"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, Cuba, Jamaica",1,735000,1
165,Florence,9/10/2000,9/19/2000,9,80,130,985,29.09,"United States East Coast, Bermuda, Atlantic Canada",3,NULL,1
166,Gordon,9/14/2000,9/21/2000,7,80,130,981,28.97,"Belize, Yucatán Peninsula, Cuba, United States East Coast, Atlantic Canada",26,10800000,1
167,Joyce,9/29/2000,10/2/2000,3,90,150,975,28.79,"Trinidad and Tobago, Windward Islands, Leeward Islands",0,NULL,1
168,Gabrielle,9/11/2001,9/19/2001,8,80,130,975,28.79,"Florida, Newfoundland",3,NULL,1
169,Karen,10/12/2001,10/15/2001,3,80,130,982,29,"Bermuda, Atlantic Canada",0,1400000,1
170,Noel,11/4/2001,11/6/2001,2,75,120,986,29.12,Atlantic Canada,0,NULL,1
171,Olga,11/24/2001,12/7/2001,13,90,150,973,28.73,"Bermuda, The Bahamas, Cuba, Florida",0,NULL,1
172,Kyle,9/20/2002,10/14/2002,24,85,140,980,28.94,"Bermuda, Florida, Georgia, The Carolinas, British Isles",1,5000000,1
173,Claudette,7/8/2003,7/17/2003,9,90,150,979,28.91,"Windward Islands, Jamaica, Yucatán Peninsula, Northern Mexico, Texas",3,181000000,1
174,Danny,7/16/2003,7/21/2003,5,75,120,1000,29.53,NULL,0,NULL,1
175,Erika,8/14/2003,8/17/2003,3,75,120,986,29.12,"Florida, Mexico, Southern Texas",2,100000,1
176,Gaston,8/27/2004,9/3/2004,7,75,120,985,29.09,"The Carolinas, Virginia, Maryland, Delaware, Massachusetts",9,130000000,1
177,Lisa,9/19/2004,10/3/2004,14,75,120,987,29.15,NULL,0,NULL,1
178,Cindy,7/3/2005,7/12/2005,9,75,120,991,29.26,"Yucatán Peninsula, The Carolinas, Alabama, Mississippi, Louisiana",3,320000000,1
179,Nate,9/5/2005,9/13/2005,8,90,150,976,28.82,"Bermuda, United States East Coast, Scotland, Norway",2,NULL,1
180,Ophelia,9/6/2005,9/23/2005,17,85,140,976,28.82,"The Bahamas, Eastern Coast of the United States, Atlantic Canada, Europe",3,70000000,1
181,Philippe,9/17/2005,9/23/2005,6,80,130,985,29.09,Bermuda,0,NULL,1
182,Stan,10/1/2005,10/5/2005,4,80,130,977,28.85,"Costa Rica, Nicaragua, Honduras, El Salvador, Belize, Guatemala, Mexico",1668,3960000000,1
183,Vince,10/8/2005,10/11/2005,3,75,120,988,29.18,"Madeira Islands, Southern Portugal, Southwestern Spain",0,NULL,1
184,Epsilon,11/29/2005,12/10/2005,11,85,140,981,28.97,NULL,0,NULL,1
185,Ernesto,8/24/2006,9/1/2006,8,75,120,985,29.09,"Lesser Antilles, Puerto Rico, Hispaniola, Cuba, United States East Coast, Atlantic Canada",11,500000000,1
186,Florence,9/3/2006,9/18/2006,15,90,150,974,28.76,"Bermuda, Newfoundland, United States East Coast, Atlantic Canada, Iceland, Greenland",0,200000,1
187,Isaac,9/27/2006,10/2/2006,5,85,140,985,29.09,Newfoundland,0,NULL,1
188,Humberto,9/12/2007,9/14/2007,2,90,150,985,29.09,"Texas, Louisiana, Mississippi, The Carolinas",1,50000000,1
189,Karen,9/25/2007,9/29/2007,4,75,120,988,29.18,NULL,0,NULL,1
190,Lorenzo,9/25/2007,9/28/2007,3,80,130,990,29.23,Central Mexico,6,92000000,1
191,Noel,10/28/2007,11/7/2007,10,80,130,980,28.94,"The Caribbean, The Bahamas, Florida, Eastern United States, Eastern Canada, Greenland, Western Europe",222,580000000,1
192,Hanna,8/28/2008,9/12/2008,15,85,140,977,28.85,"Puerto Rico, Turks and Caicos Islands, The Bahamas, Hispaniola, United States East Coast, Atlantic Canada",537,160000000,1
193,Kyle,9/25/2008,9/30/2008,5,85,140,984,29.06,"Puerto Rico, Hispaniola, Bermuda, New England, Atlantic Canada",8,57100000,1
